#Table1
fiberID,ra,dec,z_noqso,z_noqso_err,passive_logmass,starforming_logmass,pca_logmass
198,28.548889,-0.32783464,0.3610245,5.555775E-05,10.82,11.09,11.343815052358
254,28.238218,-0.88865762,0.2283075,4.683797E-05,9.46,8.28,9.36254872753489
323,27.934003,-1.214176,0.5561019,0.0002060708,11.12,10.84,11.3934593999875
379,27.588746,-0.8661046,0.445913,0.0001405382,11.03,11,10.9518536878459
419,26.816453,-0.90265543,0.7854664,0.1042945,11.82,11.49,12.3112951201038
478,27.162204,-0.18236062,0.4874286,0.0001041651,11.1,11.34,11.2483676369011
534,27.0351,0.0088513955,0.5551273,0.000122053,11.24,11.13,11.5777441660175
588,27.42415,1.1580365,0.5169554,0.0001733227,10.98,10.79,11.3335902094259
641,27.63463,0.55719417,0.4907717,0.0001067364,10.99,10.8,11.1975491185149
701,27.920097,1.24811,0.485292,8.263897E-05,11.28,11,11.6087624864158
753,28.329016,0.89918705,0.1319772,9.201872E-05,10.19,10.29,9.95084113971097
814,28.513027,0.32763365,0.178936,2.389359E-05,10.44,10.02,10.772211011732
871,28.633979,0.73312961,0.3332324,0.000165813,11.02,11.15,10.8583338172757
941,29.233521,0.78412452,0.4355864,7.094608E-05,11.33,11.16,11.6090600254247
49,29.289898,-0.74559984,0.5013683,0.0001223995,10.93,10.69,11.2381291540805
101,28.907104,-0.60115747,0.488561,0.0001577799,11.06,10.72,11.1774650828302
145,28.726252,-0.48567536,0.5661432,0.0001322554,11.55,11.69,11.520400648471
199,28.628853,-0.027484658,0.4985605,0.0001092393,11.12,11.08,11.4393799075042
255,28.246692,-0.86138934,0.2435867,4.736547E-05,11.12,11.04,11.4407278650906
325,27.871795,-1.2215783,0.5594426,0.0001890826,11.55,11.26,11.8484355194378
381,27.596996,-0.76342856,0.558644,0.0001039985,11.8,11.59,11.7477426523983
421,27.335236,-0.74051635,0.5218487,0.0001178979,10.95,10.8,11.4427526561922
479,27.189315,-0.18194258,0.5690925,0.0001471938,11.18,11.17,11.5929611814499
535,27.283032,0.15067917,0.5529066,0.0001360094,11.54,11.53,11.7819132910226
589,27.433113,0.98621762,0.4856163,0.0001367184,10.92,11.04,11.3132708733319
643,27.76802,0.50713036,0.4784369,0.0001363672,11.12,10.8,11.3905671829125
703,27.975498,1.0860743,0.5151494,0.0001664613,11.08,11.11,11.3460975142661
757,28.261226,0.69749783,0.7488416,0.0001732681,11.67,11.28,11.7388658652781
815,28.520594,0.25560362,0.5831999,0.0001542052,11.2,11.21,11.1568056527176
873,28.68934,0.69155437,0.3607243,7.533887E-05,11.38,11.41,11.59563048782
946,29.058718,0.80535768,0.5011783,0.000226827,11.26,10.92,11.3205686817237
50,29.265094,-0.65796567,0.5387539,0.0001539668,11.07,10.92,11.0782886120724
102,28.868213,-0.57117441,0.4888386,0.0001417615,11.13,10.76,11.3916737756226
146,28.748795,-0.5228649,0.4126337,2.878562E-05,10.24,9.24,8.96410440377076
200,28.568249,-0.051382001,0.4982662,0.0001078951,10.86,10.82,10.9989329419332
259,28.29936,-0.83895715,0.1347239,1.087601E-05,10.07,9.36,10.0786099695251
327,27.964946,-1.0667144,0.4357236,0.000174579,10.79,10.8,11.1325543042039
382,27.584141,-0.78309193,0.4890208,0.0001161217,11.26,10.99,11.4082515203918
423,27.337846,-0.6898256,0.5679175,0.0001453609,11.39,11.45,11.7513860557083
480,27.252009,-0.13181738,0.5183094,0.0002123518,11.4,11.2,11.5747039353009
537,27.253587,0.17423948,0.4722157,0.0001094319,11.06,11.33,11.3975567838061
591,27.456066,1.0440589,0.4886872,9.37232E-05,11.33,11.29,11.4154180907353
645,27.703456,0.34305034,0.4866525,0.0001139461,11.32,11.27,11.5565299963928
705,27.994405,1.2398952,0.4216903,5.898851E-05,11.55,11.55,11.8275283480179
762,28.343966,0.33691744,0.5730698,0.0001640963,11.19,11.38,11.4180883126101
874,28.660668,0.60736827,0.1337467,1.714569E-05,9.66,8.67,9.27279406340676
947,29.214934,0.67154849,0.4966073,0.0001467055,10.93,10.52,10.9505323094781
11,29.358847,-0.21344269,0.5210965,0.0001703535,10.98,11.09,10.8580725808279
59,29.15745,-0.60300644,0.5263828,4.004488E-05,11.12,10.7,11.2490048281325
110,28.871795,-0.3970765,0.5363492,0.0001313657,11.28,10.96,11.4758757608361
161,28.697257,-1.2368489,0.4985707,0.0001434934,10.95,10.87,11.3604389470856
213,28.470472,-0.91806546,0.5559197,0.0001722168,11.18,10.86,11.3939788210555
267,28.379981,-0.41190567,0.3332768,4.437113E-05,11.21,11.19,11.5105261739809
341,27.779172,-0.75925956,0.2084298,7.236336E-05,10.6,10.72,10.1223846988869
390,27.776608,-0.32719616,0.4540504,0.0001517449,11.12,10.98,11.0462258054758
440,27.522342,-0.080443599,0.2080587,3.032595E-05,11.31,10.78,11.3158911725623
491,26.882443,-0.33809199,0.7992395,0.0003511093,11.87,11.61,11.7368092386168
551,27.211979,1.049446,0.4579834,9.369381E-05,11.11,11.34,11.3572037254926
602,27.536495,0.64773336,0.4943314,0.0001648932,10.93,10.97,11.3433118059766
661,27.89259,1.1614083,0.5093248,0.0001104494,11.37,11.43,11.8282934047311
716,28.068914,0.88229802,0.38085,2.77334E-05,11.16,10.97,11.2156637351145
