UID,x[kpc/h],y[kpc/h],z[kpc/h],x_pix,y_pix,i_sector,m500c[Msol/h],r500c[kpc/h],gas_frac,star_frac,T[kev],Lx[1e44erg/s],Y500c,M_sat/M_cD,cshift[kpc],vx[km/s],vy[km/s],vz[km/s]
149,148862.28,272708.62,248954.61,3810,9402,29,206932000000000.0,878.957,0.111006,0.029237,3.33797,2.53107,28.617865999999996,0.16508,0.0,-33.5954,397.027,-306.41700000000003
150,15225.597,565467.75,576726.25,389,1908,0,213170000000000.0,887.671,0.119078,0.0284749,3.6196099999999998,2.69675,33.62254,0.378826,0.0,-108.521,-30.9692,-43.0093
151,408624.19,154257.45,336038.34,10460,12435,39,222488000000000.0,900.425,0.117835,0.0293826,3.82818,3.0369599999999997,35.693825,0.21543600000000002,0.0,370.574,-399.574,-71.1152
152,299720.22,637624.88,98779.93,7672,60,3,147416000000000.0,784.992,0.109117,0.0347086,2.97418,6.33429,22.386681,0.25119400000000003,0.0,163.161,-373.036,90.785
153,302868.69,67873.344,424426.22,7753,14646,45,227191000000000.0,906.732,0.117255,0.0315559,3.95327,5.72197,36.934884999999994,0.0599033,0.0,503.811,-401.00300000000004,154.888
154,63666.945,371126.94,145526.81,1629,6883,14,207085000000000.0,879.169,0.11494,0.0324539,3.6208199999999997,2.89195,32.151227,0.334093,0.0,-468.621,-1.45469,-400.369
155,150991.5,440184.81,259727.25,3865,5115,15,261168000000000.0,949.848,0.110131,0.0248834,4.0023,3.9778800000000003,36.791393,0.325892,0.0,-195.36599999999999,-273.098,63.4418
156,97680.75,321550.44,366825.91,2500,8152,22,164556000000000.0,814.302,0.11267,0.0309612,3.06431,3.0718,24.705883,0.15232,0.0,-417.296,-137.11,-470.01300000000003
157,33488.535,411772.75,163052.95,857,5842,14,199881000000000.0,868.832,0.10592,0.0316651,3.41247,2.2499599999999997,27.596988,0.13527899999999998,0.0,-241.951,-193.46,-27.8637
158,14790.306999999999,467015.16,387262.09,378,4428,7,200394000000000.0,869.582,0.116688,0.0314741,3.82921,2.43097,34.143944,0.509973,0.0,-389.936,-300.423,227.16299999999998
159,189015.23,633272.75,64440.039000000004,4838,172,2,133763000000000.0,759.964,0.109685,0.0297378,2.88287,5.79226,21.117301,0.16334300000000002,0.0,-309.387,-35.2332,-0.041924
160,455595.75,496190.03,595022.94,11663,3681,11,189906000000000.0,854.147,0.115198,0.0312555,3.17671,2.8151900000000003,27.466853000000004,0.09507869999999999,0.0,254.266,-482.671,-13.3899
161,383028.62,364350.28,633189.5,9805,7056,25,129908000000000.0,752.59,0.106521,0.0361161,2.8264099999999996,1.26217,19.911492000000003,0.33955799999999997,0.0,183.015,977.725,250.459
162,532056.12,343145.62,566912.19,13620,7599,26,222183000000000.0,900.037,0.110939,0.031483,3.8483400000000003,2.99772,33.764763,0.11023699999999999,0.0,242.877,256.476,-224.895
163,46386.640999999996,4006.0422,399484.78,1187,16281,42,147111000000000.0,784.444,0.0743955,0.0357711,3.5244800000000005,0.802873,18.074984,0.11386500000000001,0.0,-93.4507,95.7427,399.342
164,413091.03,124481.93,228160.61,10575,13197,39,97755000000000.0,684.521,0.096843,0.0351449,2.69087,0.63819,15.676235,0.21597199999999997,0.0,-109.69,-140.816,234.72
165,457755.81,223701.81,272246.34,11718,10657,33,178250000000000.0,836.308,0.115286,0.0368083,3.5640099999999997,2.28479,30.194496,0.148927,0.0,-384.736,38.1131,894.1189999999999
166,49153.59,263936.84,102952.65,1258,9627,28,193139000000000.0,858.975,0.102427,0.0367722,3.36701,2.08909,26.030685000000002,0.256819,0.0,-358.15,189.09599999999998,108.586
